model,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10
naive,0.6933596160664462,0.7073756115547523,0.7637081902583165,0.8114954633868572,0.879631341065948,0.8695227228079488,0.8747151731058509,0.8719066640399841,0.904715246624395,0.8798777425478498
seasonal_naive,0.7796083880568594,0.7882170084780783,0.7948327875347504,0.8606134481788088,0.9473665527470954,0.9418548247616894,0.8981906159348678,0.8589666112397665,0.906124086799018,0.9359106089165402
sma,0.7348594140381904,0.7527636357710245,0.7739754418538666,0.8342371090264527,0.8970779595048389,0.8566206713376954,0.7768759021913333,0.6565536788619419,0.7369367391649387,0.8437245794572583
ses,0.5992433420928359,0.6234604195578417,0.6937130150807429,0.7433070319095764,0.7570819387461355,0.7292511242718899,0.7223594935080873,0.6706532225132492,0.7004860551206189,0.7190572776136875
linreg,0.6310995798752838,0.692292300373049,0.782933436556351,0.8121950956794929,0.817004451711029,0.7899733057129266,0.782608452195755,0.7416957701319897,0.7448200688519186,0.7744350069922598
