model,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10
naive,-0.5308328374659093,-0.5286167821386483,-0.47577489996057887,-0.44207880531257726,-0.4096200806064928,-0.4063564144266377,-0.4142021433760291,-0.42313045762090495,-0.3995570555199983,-0.3956936867078469
seasonal_naive,-0.4609464308107971,-0.45872480145178574,-0.43536161747626567,-0.3971274545014929,-0.3601293486547914,-0.36231324480033844,-0.39434471688911843,-0.40963900095971983,-0.37576012232477607,-0.3586528524282204
sma,-0.5245857895028501,-0.5135932440664635,-0.4757686637903583,-0.43766269993082263,-0.40578146344621524,-0.42038704766466917,-0.4717077173175084,-0.5440798647591483,-0.4893218613363919,-0.410331614603185
ses,-0.5794028523718873,-0.5680421207040713,-0.5117294760154814,-0.47259608095383,-0.46753701610663145,-0.4756224217791768,-0.4871022868456619,-0.5207881075355634,-0.5021579939672605,-0.47492330019786744
linreg,-0.5744266419679103,-0.5340482478135875,-0.4560610735187527,-0.42356354145254016,-0.4353974740815878,-0.4414217040681482,-0.45744445566997427,-0.4793012841077451,-0.47752566568867494,-0.4475467242978296
