model,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10
naive,93.04459635416667,91.08178086517209,146.33891472868217,140.55746773202213,154.2769895126465,147.8544891640867,165.96807191568507,142.43061909118634,164.40517503805174,140.45678252845278
seasonal_naive,108.9208984375,103.84180612567098,145.0093023255814,139.58850645359558,156.93275755706355,151.23498452012385,162.11407315561067,135.62000609942055,165.52176560121765,140.930790525992
sma,112.60270182291667,108.59077991790338,153.2617054263566,153.6626459741856,170.20658544108574,155.43142414860682,127.94257594544327,97.50564196401342,164.513698630137,156.05659796985543
ses,91.25575856986774,89.11796586801816,136.2275419971946,136.00513032764496,145.46536075271948,133.75775868432626,137.01384776042565,112.91704194093649,149.64497500313527,130.5452771913552
linreg,89.21629062232222,85.67982291402714,134.12535187578496,132.32860488164337,141.08837528989312,129.019536302889,130.66534384433479,108.0035291315601,147.2034060367917,124.25654874312339
