model,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10
naive,0.5388930058431461,0.5961238077199857,0.7109548410868911,0.7226306217568136,0.7384362975941255,0.7133918764725574,0.7732531892289113,0.8026665659154948,0.7119508290374015,0.775583582428482
seasonal_naive,0.6293094248430807,0.6793685438118241,0.725564439349929,0.7495855689103893,0.794454185545649,0.7712702350338612,0.7483400088640719,0.7499503615634011,0.725629591611381,0.860656101477013
sma,0.902591834020925,0.9607531437487019,0.9324823477555608,1.0183304572469838,1.1437942573453403,1.0290057325565978,0.9423015476836653,0.7514331931094186,0.786984876433766,1.0417189819021828
ses,0.6533181124128099,0.7073710622291901,0.7641174472221753,0.814582481318366,0.8278887506796992,0.7776282567473007,0.7916570140682311,0.7557529403464082,0.6952876695203656,0.804837165757709
linreg,0.7603499935822725,0.9032235208826611,1.030349477844919,1.093501880111556,1.0972099136598659,1.048479139408912,1.0534795603961156,0.9982940974237654,0.9111794564276758,1.0422842449980143
